"","Sample","TF_1Pos","TF_1Neg","TF_2Pos","TF_2Neg","TF_3Pos","TF_3Neg","TF_4Pos","TF_4Neg","TF_5Pos","TF_5Neg","Weight_100_101","Weight_10_11","Number_Condition","10_20","20_30","30_40","40_50","20_21","30_31","40_41","50_51","AddingSand_Chance","RemovingSand_Chance","AddingSand_Num","RemovingSand_Num","AddingSand_How","RemovingSand_How","Sand_Num_Coded","Sand_How_Coded"
"1","Prolific","","False - I disagree with this statement","True - I agree with this statement","","","","","","","False - I disagree with this statement","No, I think I would not be able to tell which weighs more","","Adult","Above chance (>50%)","Above chance (>50%)","Above chance (>50%)","At chance (50%)","At chance (50%)","At chance (50%)","At chance (50%)","At chance (50%)","","50% (completely guessing) -- I would have no sense of which is heavier","","50","","Luck","50","chance"
"2","Prolific","True - I agree with this statement","","","False - I disagree with this statement","","","","","True - I agree with this statement","","","No, I think I would not be able to tell which weighs more","Adult","Above chance (>50%)","Above chance (>50%)","Above chance (>50%)","Above chance (>50%)","At chance (50%)","At chance (50%)","At chance (50%)","At chance (50%)","50% (completely guessing) -- I would have no sense of which is heavier","","25% or 750 grains in this case","","That it was a rigged game","","750","cheated"
"3","Prolific","","False - I disagree with this statement","True - I agree with this statement","","","","","","","False - I disagree with this statement","No, I think I would not be able to tell which weighs more","","Infant","Above chance (>50%)","At chance (50%)","At chance (50%)","At chance (50%)","At chance (50%)","At chance (50%)","At chance (50%)","At chance (50%)","","50% (completely guessing) -- I would have no sense of which is heavier","","2000","","their blindfold isn't on correctly and they can see","2000","cheated"
"4","Prolific","","False - I disagree with this statement","True - I agree with this statement","","","","","","","False - I disagree with this statement","No, I think I would not be able to tell which weighs more","","Infant","Above chance (>50%)","Above chance (>50%)","At chance (50%)","At chance (50%)","At chance (50%)","At chance (50%)","At chance (50%)","At chance (50%)","","50% (completely guessing) -- I would have no sense of which is heavier","","At least something that equates to about 10 pounds do I think I would be able to tell the difference. ","","I think that they would be guessing correctly, and perhaps they have gotten used to a certain weight for them to be able to tell a difference. I do believe that the reason will most likely be chance though and not someone actually being able to tell by feeling or looking. ","","chance"
"5","Prolific","True - I agree with this statement","","","True - I agree with this statement","","","","","True - I agree with this statement","","","No, I think I would not be able to tell which weighs more","Adult","Above chance (>50%)","Above chance (>50%)","At chance (50%)","At chance (50%)","At chance (50%)","At chance (50%)","At chance (50%)","At chance (50%)","50% (completely guessing) -- I would have no sense of which is heavier","","1000","","They can sense something changing with the bag (perhaps the machine touches the bag in its motion)","","1000","chdated"
"6","Prolific","True - I agree with this statement","","","False - I disagree with this statement","","","","","True - I agree with this statement","","","No, I think I would not be able to tell which weighs more","Infant","Above chance (>50%)","At chance (50%)","At chance (50%)","At chance (50%)","Above chance (>50%)","At chance (50%)","At chance (50%)","At chance (50%)","","50% (completely guessing) -- I would have no sense of which is heavier","","500","","Luck","500","chance"
"7","Prolific","True - I agree with this statement","","","False - I disagree with this statement","","","","","True - I agree with this statement","","","No, I think I would not be able to tell which weighs more","Adult","Above chance (>50%)","Above chance (>50%)","Above chance (>50%)","Above chance (>50%)","At chance (50%)","At chance (50%)","At chance (50%)","At chance (50%)","50% (completely guessing) -- I would have no sense of which is heavier","","250","","Pure chance and luck","","250","chance"
"8","Prolific","","True - I agree with this statement","True - I agree with this statement","","","","","","","True - I agree with this statement","Yes, I think I would be able to tell which weighs more","","Infant","Above chance (>50%)","At chance (50%)","At chance (50%)","At chance (50%)","Above chance (>50%)","At chance (50%)","At chance (50%)","At chance (50%)","","50% (completely guessing) -- I would have no sense of which is heavier","","100","","Complete guessing","100","chance"
"9","Prolific","","False - I disagree with this statement","True - I agree with this statement","","","","","","","False - I disagree with this statement","No, I think I would not be able to tell which weighs more","","Adult","Above chance (>50%)","Above chance (>50%)","At chance (50%)","At chance (50%)","At chance (50%)","At chance (50%)","At chance (50%)","At chance (50%)","50% (completely guessing) -- I would have no sense of which is heavier","","75","","Sheer chance ","","75","chance"
"10","Prolific","","False - I disagree with this statement","True - I agree with this statement","","","","","","","False - I disagree with this statement","No, I think I would not be able to tell which weighs more","","Infant","Above chance (>50%)","Above chance (>50%)","Above chance (>50%)","At chance (50%)","At chance (50%)","At chance (50%)","At chance (50%)","At chance (50%)","","50% (completely guessing) -- I would have no sense of which is heavier","","500","","They guessed and were lucky","500","chance"
"11","Prolific","True - I agree with this statement","","","False - I disagree with this statement","","","","","True - I agree with this statement","","","Yes, I think I would be able to tell which weighs more","Adult","Above chance (>50%)","Above chance (>50%)","At chance (50%)","At chance (50%)","At chance (50%)","At chance (50%)","At chance (50%)","At chance (50%)","50% (completely guessing) -- I would have no sense of which is heavier","","1000","","chamce guessing","","1000","chance"
"12","Prolific","","False - I disagree with this statement","False - I disagree with this statement","","","","","","","False - I disagree with this statement","Yes, I think I would be able to tell which weighs more","","Infant","Above chance (>50%)","At chance (50%)","At chance (50%)","Above chance (>50%)","At chance (50%)","At chance (50%)","At chance (50%)","At chance (50%)","50% (completely guessing) -- I would have no sense of which is heavier","","50","","They could feel the presence of the hand while removing. ","","50","cheated"
"13","Prolific","True - I agree with this statement","","","False - I disagree with this statement","","","","","True - I agree with this statement","","","No, I think I would not be able to tell which weighs more","Adult","Above chance (>50%)","Above chance (>50%)","At chance (50%)","At chance (50%)","At chance (50%)","At chance (50%)","At chance (50%)","At chance (50%)","","50% (completely guessing) -- I would have no sense of which is heavier","","1000","","using other senses such as sound","1000","cheated"
"14","Prolific","","False - I disagree with this statement","True - I agree with this statement","","","","","","","False - I disagree with this statement","No, I think I would not be able to tell which weighs more","","Infant","Above chance (>50%)","Above chance (>50%)","At chance (50%)","Above chance (>50%)","At chance (50%)","At chance (50%)","At chance (50%)","At chance (50%)","50% (completely guessing) -- I would have no sense of which is heavier","","250","","Excellent probability skills!","","250","chance"
"15","Prolific","True - I agree with this statement","","","True - I agree with this statement","","","","","True - I agree with this statement","","","Yes, I think I would be able to tell which weighs more","Infant","Above chance (>50%)","Above chance (>50%)","At chance (50%)","At chance (50%)","At chance (50%)","At chance (50%)","At chance (50%)","At chance (50%)","","50% (completely guessing) -- I would have no sense of which is heavier","","1,000,000,000","","luck","1000000","chance"
"16","Prolific","","True - I agree with this statement","True - I agree with this statement","","","","","","","True - I agree with this statement","No, I think I would not be able to tell which weighs more","","Adult","Above chance (>50%)","Above chance (>50%)","At chance (50%)","At chance (50%)","At chance (50%)","At chance (50%)","At chance (50%)","At chance (50%)","50% (completely guessing) -- I would have no sense of which is heavier","","700","","Coincidence","","700","chance"
"17","Prolific","False - I disagree with this statement","","","True - I agree with this statement","","","","","True - I agree with this statement","","","No, I think I would not be able to tell which weighs more","Adult","Above chance (>50%)","Above chance (>50%)","Above chance (>50%)","Above chance (>50%)","At chance (50%)","Above chance (>50%)","At chance (50%)","At chance (50%)","","50% (completely guessing) -- I would have no sense of which is heavier","","500","","Chance","500","chance"
"18","Prolific","","False - I disagree with this statement","True - I agree with this statement","","","","","","","False - I disagree with this statement","No, I think I would not be able to tell which weighs more","","Adult","Above chance (>50%)","Above chance (>50%)","Above chance (>50%)","Above chance (>50%)","Above chance (>50%)","At chance (50%)","At chance (50%)","At chance (50%)","50% (completely guessing) -- I would have no sense of which is heavier","","100","","Dumb luck, a single grain of sand has practically no weight, especially no discernible weight","","100","chance"
"19","Prolific","True - I agree with this statement","","","False - I disagree with this statement","","","","","True - I agree with this statement","","","Yes, I think I would be able to tell which weighs more","Infant","Above chance (>50%)","At chance (50%)","At chance (50%)","At chance (50%)","At chance (50%)","At chance (50%)","At chance (50%)","At chance (50%)","","50% (completely guessing) -- I would have no sense of which is heavier","","A few thousand","","Cheating, most likely","3000","cheated"
"20","Prolific","True - I agree with this statement","","","False - I disagree with this statement","","","","","True - I agree with this statement","","","Yes, I think I would be able to tell which weighs more","Infant","At chance (50%)","At chance (50%)","At chance (50%)","At chance (50%)","At chance (50%)","At chance (50%)","At chance (50%)","At chance (50%)","50% (completely guessing) -- I would have no sense of which is heavier","","600","","cheating. or just lucky guess","","600","cheated"
"21","Prolific","True - I agree with this statement","","","False - I disagree with this statement","","","","","True - I agree with this statement","","","No, I think I would not be able to tell which weighs more","Adult","Above chance (>50%)","Above chance (>50%)","Above chance (>50%)","Above chance (>50%)","At chance (50%)","At chance (50%)","At chance (50%)","At chance (50%)","","50% (completely guessing) -- I would have no sense of which is heavier","","2000","","cheating","2000","cheated"
"22","Prolific","","True - I agree with this statement","True - I agree with this statement","","","","","","","False - I disagree with this statement","No, I think I would not be able to tell which weighs more","","Infant","Above chance (>50%)","At chance (50%)","At chance (50%)","At chance (50%)","At chance (50%)","At chance (50%)","At chance (50%)","At chance (50%)","50% (completely guessing) -- I would have no sense of which is heavier","","500","","Luck","","500","chance"
"23","Prolific","","False - I disagree with this statement","True - I agree with this statement","","","","","","","False - I disagree with this statement","No, I think I would not be able to tell which weighs more","","Adult","Above chance (>50%)","Above chance (>50%)","Above chance (>50%)","At chance (50%)","At chance (50%)","At chance (50%)","At chance (50%)","At chance (50%)","","50% (completely guessing) -- I would have no sense of which is heavier","","60","","Not sure, they could have insane perceptual abilities or it could be chance or cheating","60","felt"
"24","Prolific","","False - I disagree with this statement","True - I agree with this statement","","","","","","","True - I agree with this statement","No, I think I would not be able to tell which weighs more","","Adult","Above chance (>50%)","Above chance (>50%)","Above chance (>50%)","Above chance (>50%)","Above chance (>50%)","Above chance (>50%)","Above chance (>50%)","Above chance (>50%)","","50% (completely guessing) -- I would have no sense of which is heavier","","1500","","Luck","1500","chance"
"25","Prolific","","True - I agree with this statement","True - I agree with this statement","","","","","","","False - I disagree with this statement","No, I think I would not be able to tell which weighs more","","Adult","Above chance (>50%)","Above chance (>50%)","Above chance (>50%)","At chance (50%)","At chance (50%)","At chance (50%)","At chance (50%)","At chance (50%)","50% (completely guessing) -- I would have no sense of which is heavier","","500000","","theyre too good","","500000","felt"
